literature_aligned_pathway,keep_as_core,merged_current_pathways,why_include,literature_basis,review_priority
Peripheral immune / inflammatory activation,yes,Cytokine_chemokine_TNF_interferon_signaling; Complement_innate_immune_phagocytosis; Adaptive_immune_T_B_NK_cell_response; Leukocyte_trafficking_adhesion,"Core pathway in the StrokeCog paper. Immune proteins were a large fraction of SIS3-correlated proteins, most immune proteins were higher with worse mood, and the authors propose aberrant peripheral immune activation as a mechanism.",Bidoki et al. 2023 StrokeCog SIS3 paper; post-stroke depression proteomics; ischemic stroke inflammation outcome studies.,highest
Complement / coagulation / platelet axis,yes,Complement_innate_immune_phagocytosis; Coagulation_platelet_fibrinolysis,Prior post-stroke depression proteomic studies reported complement and coagulation cascade dysregulation; stroke proteomics studies repeatedly identify coagulation and inflammatory proteins.,Nguyen et al. 2016 Frontiers Neurology; ischemic stroke proteomics studies.,highest
Cell death / cellular stress / proteostasis,yes,Apoptosis_cell_death_DNA_damage; Proteolysis_lysosome_autophagy_proteostasis; Oxidative_redox_hypoxia_stress,The StrokeCog paper reported that cell death and stress response pathways were markedly elevated as mood worsened. Oxidative stress is also a reported mechanism in post-stroke cognitive impairment and depression-related biology.,Bidoki et al. 2023; PSCI omics review; MDD pathway reviews.,highest
mTOR / MAPK / NF-kB / growth-survival signaling,yes,MAPK_PI3K_NFkB_cell_growth_survival; TGF_BMP_Wnt_Notch_developmental_signaling,The StrokeCog paper highlights mTOR pathway changes and NF-kB/inflammatory signaling as mechanistically relevant to chronic post-stroke mood.,Bidoki et al. 2023; ischemic stroke outcome inflammation Olink study.,high
Serotonin / tryptophan-kynurenine / monoamine metabolism,yes,Metabolic_lipid_adipokine_energy; Hormone_neuroendocrine_signaling,The StrokeCog paper explicitly interprets QDPR and KYNU as evidence for altered tryptophan/serotonin pathway activity in worse mood.,Bidoki et al. 2023; depression tryptophan metabolism literature.,high
Synaptic / neuronal plasticity / neurotrophic signaling,yes,Neural_synapse_axon_plasticity_repair; Angiogenesis_vascular_repair_growth_factor,The StrokeCog paper proposes immune activation leading to reduced serotonin activity and altered neuronal plasticity; MDD literature converges on synaptic/neuroplasticity pathways.,Bidoki et al. 2023; major depression molecular pathway reviews.,high
Integrin / ECM / cell adhesion / vascular remodeling,yes,ECM_integrin_fibrosis_tissue_remodeling; Cell_adhesion_cadherin_integrin_contact; Leukocyte_trafficking_adhesion,The StrokeCog paper treated integrins as a distinct functional group and noted that integrin-associated proteins were unique in directionality. ECM/cell adhesion also captures vascular remodeling and neurovascular repair biology.,Bidoki et al. 2023; stroke vascular remodeling biology.,high
Endothelial / BBB / neurovascular unit,yes,Endothelial_activation_BBB_neurovascular_unit; Angiogenesis_vascular_repair_growth_factor; Cell_adhesion_cadherin_integrin_contact,Stroke and cognitive impairment literature emphasizes vascular/endothelial dysfunction and BBB/neurovascular unit injury. This category is biologically important even if not a major explicit group in the StrokeCog paper.,PSCI and cerebrovascular biomarker literature.,medium-high
Metabolic / lipid / atherosclerosis / mitochondrial-energy biology,yes,Metabolic_lipid_adipokine_energy,PSCI reviews identify atherosclerosis and metabolism as mechanisms; depression literature also includes mitochondrial and metabolic dysfunction.,PSCI omics review; major depression pathway review.,medium
Vesicle secretion / extracellular vesicle / membrane trafficking,exploratory,Vesicle_secretion_membrane_trafficking,This is less central in the StrokeCog paper but may capture a PID39-like subtype and is relevant to extracellular-vesicle/exosome proteomics in post-stroke cognitive biology.,Exploratory subtype result; post-stroke cognitive impairment exosome literature.,medium
Hormone / neuroendocrine / HPA-like systemic signaling,exploratory,Hormone_neuroendocrine_signaling,"Depression biology often includes stress/neuroendocrine systems, but this category is broad and needs biologist review in this plasma-protein context.",MDD pathway review; PSD mechanism reviews.,medium-low
Systemic organ injury / leakage / comorbidity markers,covariate/proxy,Organ_damage_systemic_stress_response,Useful as a systemic health/comorbidity signal but should not be interpreted as a specific neuro-mood mechanism without review.,Clinical interpretation category; not a primary paper mechanism.,low
